Timestamp,Event,EAR_Value,Duration_Seconds
2025-09-15 22:27:40.318714,Drowsiness_Start,0.233,
2025-09-15 22:27:41.937682,Drowsiness_End,0.288,1.6
2025-09-15 22:27:46.904916,Drowsiness_Start,0.183,
2025-09-15 22:27:50.276836,Drowsiness_End,0.261,3.4
2025-09-15 22:27:55.541796,Drowsiness_Start,0.162,
2025-09-15 22:27:58.444510,Drowsiness_End,0.251,2.9
2025-09-15 22:28:04.826362,Drowsiness_Start,0.161,
2025-09-15 22:28:07.878984,Drowsiness_End,0.277,3.1
2025-09-15 22:28:12.982028,Drowsiness_Start,0.148,
2025-09-15 22:28:15.889768,Drowsiness_End,0.263,2.9
2025-09-15 22:28:20.571973,Drowsiness_Start,0.148,
2025-09-15 22:28:23.532638,Drowsiness_End,0.259,3.0
2025-09-15 22:28:28.054071,Drowsiness_Start,0.154,
2025-09-15 22:28:30.331511,Drowsiness_End,0.254,2.3
2025-09-15 22:28:36.421443,Drowsiness_Start,0.168,
2025-09-15 22:28:38.717056,Drowsiness_End,0.257,2.3
2025-09-15 22:28:44.183241,Drowsiness_Start,0.125,
2025-09-15 22:28:45.913378,Drowsiness_End,0.295,1.7
2025-09-15 22:28:49.522291,Drowsiness_Start,0.167,
2025-09-15 22:28:52.998893,Drowsiness_End,0.258,3.5
2025-09-15 22:28:57.691594,Drowsiness_Start,0.188,
2025-09-15 22:28:59.526327,Drowsiness_End,0.274,1.8
2025-09-15 22:29:02.485596,Drowsiness_Start,0.154,
2025-09-15 22:29:04.680549,Drowsiness_End,0.251,2.2
2025-09-15 22:29:13.495084,Drowsiness_Start,0.186,
2025-09-15 22:29:14.735732,Drowsiness_End,0.277,1.2
2025-09-15 22:29:17.524332,Drowsiness_Start,0.187,
2025-09-15 22:29:18.287258,Drowsiness_End,0.312,0.8
2025-09-15 22:29:25.661949,Drowsiness_Start,0.161,
2025-09-15 22:29:27.928313,Drowsiness_End,0.283,2.3
2025-09-15 22:29:36.931950,Drowsiness_Start,0.197,
2025-09-15 22:29:39.236415,Drowsiness_End,0.305,2.3
